ID	BK	SR	Month	Country	Project	Samples	Lat	CoordY	CoordX	Vegetation	Diversity	Temp	Prec		
S1504	ES15	SR01	07/05/2023	Spain	INSIGNIA-EU	No	40	40	-6.352686111	Forest/Natural	Medium	17.5	36.29999924		
S1505	ES15	SR02	21/05/2023	Spain	INSIGNIA-EU	Yes	40	40	-6.352686111	Forest/Natural	Medium	17.5	36.29999924		
S1506	ES16	SR01	06/05/2023	Spain	INSIGNIA-EU	Yes	43	43	-5.911677778	Forest/Natural	High	14.10000038	91.70000458		
S1507	ES16	SR02	20/05/2023	Spain	INSIGNIA-EU	Yes	43	43	-5.911677778	Forest/Natural	High	14.10000038	91.70000458		
S1508	ES17	SR01	06/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.481875	Agricultural	Low	16.20000076	51.60000229		
S1509	ES17	SR02	20/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.481875	Agricultural	Low	16.20000076	51.60000229		
S1510	ES18	SR01	07/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.434288889	Forest/Natural	Medium	13.19999981	71.20000458		
S1511	ES18	SR02	21/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.434288889	Forest/Natural	Medium	13.19999981	71.20000458		
S1512	ES19	SR01	04/05/2023	Spain	INSIGNIA-EU	Yes	41	41	1.759361111	Forest/Natural	High	17.10000038	44.20000076		
S1513	ES19	SR02	18/05/2023	Spain	INSIGNIA-EU	Yes	41	41	1.759361111	Forest/Natural	High	17.10000038	44.20000076		
S1514	ES20	SR01	05/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.126025	Forest/Natural	Medium	13.19999981	71.20000458		
S1515	ES20	SR02	19/05/2023	Spain	INSIGNIA-EU	Yes	41	41	-3.126025	Forest/Natural	Medium	13.19999981	71.20000458		
IR1516	IE01	SR01	06/05/2023	Ireland	INSIGNIA-EU	Yes	54	54	-8.009566667	Agricultural	Medium	11.40000057	58.29999924		
IR1517	IE01	SR02	20/05/2023	Ireland	INSIGNIA-EU	Yes	54	54	-8.009566667	Agricultural	Medium	11.40000057	58.29999924		
IR1518	IE02	SR01	05/05/2023	Ireland	INSIGNIA-EU	No	54	54	-9.001819444	Agricultural	Medium	12.10000038	51.40000153		
